 325 PDAS     1.  14/2  L4-3D   1178  03  S01 38.1510   -122.8007  0    96.11.28 21:30  97.02.25 20:10 Haberland
 336 PDAS     1.  14/2  L4-3D   1183  04  S02 38.0740   -122.1990  0    96.11.28 22:30  97.03.02 02:00 Patzig
 322 PDAS     1.  14/2  L4-3D   1185  05  S03 38.2078   -121.7094  0    96.11.29 15:30  97.03.02 17:30 Patzig
 329 PDAS     1.  14/2  L4-3D   1172  06  S04 37.8492   -122.5556  0    96.11.29 20:20  97.03.04 14:15 Haberland
 327 PDAS     1.  14/2  L4-3D   1010  07  S05 37.8333   -121.9956  0    96.11.29 22:20  97.03.02 00:15 Haberland
 307 PDAS     1.  14/2  L4-3D   1187  08  S06 37.5072   -122.1717  0    96.11.30 16:05  97.02.25 22:30 Herlitz
 306 PDAS     1.  14/2  L4-3D   1189  09  S07 37.7728   -121.4755  0    96.11.30 19:00  97.02.28 22:00 Tibi
 333 PDAS     1.  14/2  L4-3D   1171  36  S08 37.1078   -121.6994  0    96.12.12 17:30  97.02.28 12:00 Tibi
 310 PDAS     1.  14/2  L4-3D   1176  37  S09 37.4264   -121.6654  0    96.12.16 21:30  97.03.06 24:00 Tibi
 289 PDAS     1.  14/2  L4-3D   1188  45  S10 38.0179   -123.0075  0    97.02.24 15:20  97.03.04 19:30 Patzig
 302 PDAS     1.  14/2  L4-3D   1174  46  S11 37.7193   -123.0300  0    97.02.24 17:10  97.03.05 05:00 Patzig
 309 PDAS     1.  14/2  L4-3D   1170  10  S12 37.6646   -122.7183  0    96.11.30 20:30  97.03.02 14:00 Haberland
 307 PDAS     1.  14/2  L4-3D   1187  08  S13 37.5210   -122.9211  0    96.11.30 16:05  97.02.25 22:30 Herlitz
 306 PDAS     1.  14/2  L4-3D   1189  09  S14 37.4420   -122.6093  0    96.11.30 19:00  97.02.28 22:00 Tibi
 333 PDAS     1.  14/2  L4-3D   1171  36  S15 37.2045   -123.0611  0    96.12.12 17:30  97.02.28 12:00 Tibi
 310 PDAS     1.  14/2  L4-3D   1176  37  S16 37.2891   -122.2685  0    96.12.16 21:30  97.03.06 24:00 Tibi
 289 PDAS     1.  14/2  L4-3D   1188  45  S17 36.9331   -122.6342  0    97.02.24 15:20  97.03.04 19:30 Patzig
 302 PDAS     1.  14/2  L4-3D   1174  46  S18 37.0225   -122.0761  0    97.02.24 17:10  97.03.05 05:00 Patzig
